Date,GSCI_Commodity,Soybean,Corn,Wheat,Diesel,IDRUSD,EURUSD,Germany,ONI,ADS_Index,VIX,GEPU_ppp,TempIndo,PrecIndo,TempViet,PrecViet,TempBras,PrecBras,Arabica,Open_Co,High_Co,Low_Co,Last_Co,US,France,CCL,Dydo,ITO,KeyCoffee,Tata,BRLUSD,CHFUSD,VNDUSD
2008-08-04,737.5,12.95,5.555,7.5875,4.772,0.000110047324,1.5554,6349.81,-0.23,-1.69412,23.49,98.42453998,24.0,12.0,22.0,0.7,28.4,0.0,169.4,2330.0,2330.0,2261.0,2261.0,1249.0146,4280.634845,15.385001,1660.0,1594.0,1582.0,71.45674,0.6386512,0.9566174,5.9737158e-05
2008-08-05,726.0,12.69,5.45,7.8,4.772,0.00011015642,1.5439,6518.7,-0.23,-1.71214,21.14,98.42453998,24.6,0.8,22.3,3.0,28.1,0.0,173.6,2340.0,2340.0,2340.0,2340.0,1284.8773,4386.3456063,15.25,1710.0,1599.0,1593.0,71.77281,0.63486016,0.94926196,5.9826503e-05
2008-08-06,722.0,12.22,5.2775,7.6575,4.772,0.000110223205,1.5384,6561.39,-0.23,-1.73323,20.23,98.42453998,24.7,0.7,23.4,4.3,28.8,0.0,170.35,2320.0,2320.0,2320.0,2320.0,1289.1881,4448.3321706,15.210001,1735.0,1614.0,1609.0,71.4123,0.6322312,0.9445992,6.0204697e-05
2008-08-07,730.0,12.39,5.42,8.2225,4.772,0.00010989011,1.5294,6543.49,-0.23,-1.75742,21.15,98.42453998,24.4,1.4,21.7,17.6,28.7,0.0,174.05,2340.0,2340.0,2340.0,2340.0,1266.0686,4457.4300339,15.210001,1730.0,1594.0,1591.0,71.23944,0.63019913,0.94361883,6.0222825e-05
2008-08-08,701.8,11.805,5.1825,7.6525,4.672,0.00010905125,1.4982,6561.65,-0.23,-1.78471,20.66,98.42453998,24.3,9.9,22.9,1.6,27.8,0.0,167.5,2295.0,2295.0,2295.0,2295.0,1296.3221,4491.8547561,14.825,1700.0,1620.0,1587.0,71.14067,0.6193101,0.92464167,6.0459493e-05
2008-08-11,700.3,11.96,5.17,7.9375,4.672,0.00010899182,1.4901,6609.63,-0.23,-1.88481,20.12,98.42453998,23.9,0.0,22.2,4.0,28.7,0.0,168.35,2292.0,2292.0,2292.0,2292.0,1305.3226,4538.4856627,15.44,1705.0,1632.0,1587.0,72.335815,0.6209252,0.92571163,6.0808758e-05
2008-08-12,697.1499,12.14,5.285,7.9025,4.672,0.00010905125,1.4888,6585.87,-0.23,-1.92364,21.17,98.42453998,24.9,2.3,22.3,9.1,28.3,0.0,170.05,2266.0,2266.0,2265.0,2265.0,1289.5875,4518.4764857,16.0,1685.0,1639.0,1575.0,72.79511,0.61652285,0.91975164,6.0277274e-05
2008-08-13,713.5,12.84,5.585,8.5025,4.672,0.000108932465,1.4907,6422.19,-0.23,-1.96515,21.55,98.42453998,25.1,1.2,22.2,3.7,27.6,0.0,166.8,2259.0,2259.0,2210.0,2210.0,1285.8269,4402.9691453,15.210001,1665.0,1638.0,1550.0,74.005066,0.6147226,0.91911757,6.0150374e-05
2008-08-14,708.8999,12.74,5.7725,8.645,4.672,0.00010892653,1.4788,6442.21,-0.23,-2.00934,20.34,98.42453998,25.0,1.6,22.8,1.1,27.9,0.0,167.7,2203.0,2203.0,2203.0,2203.0,1292.9285,4420.905173,15.150001,1650.0,1644.0,1531.0,73.55072,0.62036663,0.91941345,6.0386472e-05
2008-08-18,698.0,12.89,5.7275,8.8475,4.563,0.000108813925,1.4675,6432.88,-0.23,-2.21329,20.98,98.42453998,24.9,0.7,22.1,20.1,28.1,0.0,165.8,2223.0,2223.0,2223.0,2223.0,1278.6007,4448.8422771,15.415,1625.0,1680.0,1555.0,72.148155,0.61188275,0.909794,5.9988004e-05
