Date,GSCI_Commodity,Soybean,Corn,Wheat,Diesel,Open_Co,High_Co,Low_Co,Last_Co,XOFUSD,IDRUSD,GHSUSD,EURUSD,GBPUSD,Netherlands,Germany,Malaysia,Hershey,Lindt,Fuji,Guan_Chong,Barry_Calle,Temp_Cote,Prec_Cote,Temp_Ghana,Prec_Ghana,Temp_Indo_Lampung,Prec_Indo_Lampung,Temp_Indo_Palu,Prec_Indo_Palu,ONI,ADS_Index,VIX,GEPU_ppp
2005-05-06,353.8501,6.4,2.0825,3.17,2.366,1474.0,1487.0,1455.0,1484.0,0.0019583602,0.00010540184,1.1042281,1.2829,1.8872,356.64565,4311.06,28.44,64.65,18905.0,1219.0,0.16499983,317.0,24.9,5.8,25.0,1.7,26.1,8.8,26.2,28.8,0.29,0.0418735,14.05,68.04588417
2005-05-09,357.5,6.3775,2.0775,3.135,2.366,1479.0,1494.0,1476.0,1489.0,0.0019553874,0.00010545186,1.1038959,1.2844,1.8798,355.92742499,4292.41,28.32,65.45,19190.0,1208.0,0.16499983,317.0,25.3,4.5,25.4,9.5,26.3,11.8,25.7,19.9,0.29,0.0141295,13.75,68.04588417
2005-05-10,362.2,6.34,2.0825,3.215,2.366,1495.0,1503.0,1492.0,1497.0,0.0019633146,0.00010580331,1.1047441,1.2883,1.8795,354.03657499,4251.13,28.2,65.4,19200.0,1203.0,0.16499983,319.5,25.1,7.4,25.3,3.0,26.5,0.6,25.4,10.5,0.29,0.00631929,14.91,68.04588417
2005-05-11,356.8501,6.33,2.065,3.1375,2.366,1495.0,1509.0,1490.0,1491.0,0.0019535578,0.00010573619,1.1039989,1.281,1.8678,352.77845,4244.16,28.28,65.9,19890.0,1195.0,0.16624984,319.0,26.4,0.6,26.7,0.4,26.3,3.3,25.7,7.8,0.29,-0.000772458,14.45,68.04588417
2005-05-12,347.3999,6.235,2.0425,3.0875,2.366,1481.0,1489.0,1466.0,1472.0,0.0019380081,0.00010559662,1.1047313,1.2718,1.8633,354.91945,4267.05,28.12,66.37,19700.0,1194.0,0.16499983,310.0,25.9,7.7,26.9,0.2,26.2,5.7,25.8,15.8,0.29,-0.00714856,16.12,68.04588417
2005-05-13,346.7,6.1275,2.035,3.0275,2.342,1456.0,1463.0,1428.0,1430.0,0.0019279466,0.000105540894,1.10011,1.2636,1.8479,355.510175,4275.7,27.64,66.25,20000.0,1167.0,0.16624984,320.0,25.5,5.6,26.4,2.4,26.1,9.0,25.5,6.2,0.29,-0.0128115,16.32,68.04588417
2005-05-17,347.0,6.2075,2.075,3.1,2.342,1445.0,1449.0,1435.0,1438.0,0.0019258122,0.00010598834,1.1019284,1.2627,1.8341,355.3487,4251.77,27.72,64.88,19825.0,1150.0,0.16499983,329.0,25.5,8.3,26.3,3.4,25.8,4.2,26.2,1.7,0.29,-0.0277266,14.57,68.04588417
2005-05-18,342.8999,6.3325,2.1075,3.15,2.342,1441.0,1458.0,1441.0,1453.0,0.0019265745,0.00010582011,1.103393,1.2684,1.838,360.98802499,4324.6,27.88,65.1,19640.0,1125.0,0.16499983,324.0,25.9,1.5,27.2,1e-10,26.3,0.8,25.8,5.9,0.29,-0.0292055,13.63,68.04588417
2005-05-19,341.6001,6.2925,2.095,3.095,2.342,1454.0,1469.0,1435.0,1446.0,0.0019238305,0.00010582011,1.1048076,1.2648,1.833,363.205825,4360.42,27.76,65.16,19245.0,1122.0,0.16374983,330.0,25.8,2.5,27.4,1e-10,26.1,0.7,26.3,1.2,0.29,-0.0297646,13.32,68.04588417
2005-05-20,340.25,6.32,2.1325,3.13,2.315,1439.0,1450.0,1432.0,1440.0,0.0019125493,0.00010580891,1.1013216,1.2564,1.8242,363.87945,4360.68,27.68,64.97,19000.0,1111.0,0.16249983,328.25,26.8,1.1,28.0,1e-10,26.2,0.8,26.5,8.5,0.29,-0.0294042,13.14,68.04588417
2005-05-24,345.8999,6.455,2.2125,3.32,2.315,1464.0,1468.0,1434.0,1436.0,0.0019181898,0.0001056245,1.1008366,1.2594,1.8263,365.098875,4396.64,27.56,64.5,19635.0,1109.0,0.16249983,330.0,26.6,1.3,27.0,1e-10,25.7,12.9,26.1,22.2,0.29,-0.0159129,12.69,68.04588417
2005-05-25,351.0,6.665,2.2275,3.3025,2.315,1438.0,1450.0,1427.0,1429.0,0.0019200192,0.00010550749,1.1008366,1.2606,1.8299,366.044325,4389.54,27.28,64.34,19720.0,1102.0,0.16249983,329.0,25.8,2.4,27.5,0.3,25.2,8.6,25.9,7.9,0.29,-0.00809824,12.58,68.04588417
2005-05-26,352.3,6.76,2.25,3.3775,2.315,1415.0,1427.0,1413.0,1415.0,0.0019090429,0.00010537408,1.101997,1.2518,1.8196,368.26045,4436.6,27.2,64.69,19750.0,1110.0,0.16249983,330.0,25.0,4.7,26.1,4.8,25.7,4.4,25.3,16.2,0.29,0.00159308,12.24,68.04588417
2005-05-27,354.55,6.6775,2.2125,3.35,2.292,1417.0,1431.0,1412.0,1412.0,0.0019123968,0.00010534633,1.0995052,1.259,1.8223,366.93772499,4444.71,27.2,64.56,19785.0,1124.0,0.16249983,332.0,25.0,1.7,25.6,0.4,26.2,0.9,25.1,13.2,0.29,0.0131649,12.15,68.04588417
